guia,origen,destino,estado,costo_flete,despacho_dia,despacho_mes,despacho_ano,limite_dia,limite_mes,limite_ano,origen_latitude,origen_longitude,destino_latitude,destino_longitude
guia_128,bucaramanga,cali,preparacion,3454,1,6,2026,8,6,2026,7.1254,-73.1198,3.4516,-76.532
guia_129,cartagena,cali,preparacion,3031,1,6,2026,15,6,2026,10.391,-75.4794,3.4516,-76.532
guia_130,medellin,cali,preparacion,607,2,6,2026,12,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_131,cali,medellin,en_novedad,2807,6,6,2026,8,6,2026,3.4516,-76.532,6.2442,-75.5812
guia_132,bogota,bucaramanga,en_transito,721,6,6,2026,13,6,2026,4.711,-74.0721,7.1254,-73.1198
guia_133,cali,bogota,entregado,4443,6,6,2026,15,6,2026,3.4516,-76.532,4.711,-74.0721
guia_134,barranquilla,pereira,en_transito,835,1,6,2026,11,6,2026,10.9685,-74.7813,4.8133,-75.6961
guia_135,bogota,medellin,en_bodega,1905,5,6,2026,15,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_136,medellin,barranquilla,entregado,4458,5,6,2026,9,6,2026,6.2442,-75.5812,10.9685,-74.7813
guia_137,bogota,barranquilla,en_bodega,3707,4,6,2026,14,6,2026,4.711,-74.0721,10.9685,-74.7813
guia_138,barranquilla,pereira,en_transito,612,5,6,2026,8,6,2026,10.9685,-74.7813,4.8133,-75.6961
guia_139,cali,medellin,preparacion,2461,1,6,2026,10,6,2026,3.4516,-76.532,6.2442,-75.5812
guia_140,medellin,cali,preparacion,2625,2,6,2026,12,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_141,barranquilla,bucaramanga,en_bodega,668,4,6,2026,14,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_142,bogota,cartagena,entregado,3228,5,6,2026,13,6,2026,4.711,-74.0721,10.391,-75.4794
guia_143,bogota,medellin,en_bodega,2995,4,6,2026,12,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_144,bucaramanga,pereira,entregado,1791,6,6,2026,8,6,2026,7.1254,-73.1198,4.8133,-75.6961
guia_145,pereira,medellin,entregado,581,6,6,2026,9,6,2026,4.8133,-75.6961,6.2442,-75.5812
guia_146,barranquilla,cartagena,entregado,2534,3,6,2026,15,6,2026,10.9685,-74.7813,10.391,-75.4794
guia_147,medellin,bogota,en_transito,3448,3,6,2026,9,6,2026,6.2442,-75.5812,4.711,-74.0721
guia_148,pereira,bogota,entregado,563,4,6,2026,12,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_149,bucaramanga,pereira,en_transito,3942,5,6,2026,11,6,2026,7.1254,-73.1198,4.8133,-75.6961
guia_150,bucaramanga,barranquilla,preparacion,1124,2,6,2026,14,6,2026,7.1254,-73.1198,10.9685,-74.7813
guia_151,bogota,bucaramanga,entregado,3541,4,6,2026,9,6,2026,4.711,-74.0721,7.1254,-73.1198
guia_152,barranquilla,cartagena,en_transito,3275,4,6,2026,15,6,2026,10.9685,-74.7813,10.391,-75.4794
guia_153,pereira,bogota,en_novedad,4551,1,6,2026,14,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_154,bogota,medellin,en_novedad,541,3,6,2026,15,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_155,cali,bogota,en_transito,1745,1,6,2026,12,6,2026,3.4516,-76.532,4.711,-74.0721
guia_156,cali,cartagena,en_novedad,4788,5,6,2026,10,6,2026,3.4516,-76.532,10.391,-75.4794
guia_157,barranquilla,medellin,en_novedad,729,2,6,2026,13,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_158,bucaramanga,bogota,entregado,3203,6,6,2026,10,6,2026,7.1254,-73.1198,4.711,-74.0721
guia_159,medellin,barranquilla,preparacion,1426,3,6,2026,14,6,2026,6.2442,-75.5812,10.9685,-74.7813
guia_160,cali,bogota,preparacion,2905,4,6,2026,10,6,2026,3.4516,-76.532,4.711,-74.0721
guia_161,bogota,cali,preparacion,548,3,6,2026,13,6,2026,4.711,-74.0721,3.4516,-76.532
guia_162,cali,pereira,entregado,1903,1,6,2026,8,6,2026,3.4516,-76.532,4.8133,-75.6961
guia_163,bucaramanga,bogota,preparacion,1000,4,6,2026,13,6,2026,7.1254,-73.1198,4.711,-74.0721
guia_164,cali,bucaramanga,en_bodega,1865,6,6,2026,14,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_165,cartagena,medellin,en_novedad,1713,2,6,2026,13,6,2026,10.391,-75.4794,6.2442,-75.5812
guia_166,bogota,cali,en_bodega,2985,2,6,2026,9,6,2026,4.711,-74.0721,3.4516,-76.532
guia_167,pereira,bogota,preparacion,3018,1,6,2026,8,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_168,bogota,medellin,preparacion,1375,3,6,2026,11,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_169,cartagena,cali,preparacion,4536,5,6,2026,15,6,2026,10.391,-75.4794,3.4516,-76.532
guia_170,pereira,cali,en_novedad,3005,6,6,2026,10,6,2026,4.8133,-75.6961,3.4516,-76.532
guia_171,cartagena,bucaramanga,en_transito,4498,4,6,2026,15,6,2026,10.391,-75.4794,7.1254,-73.1198
guia_172,cartagena,medellin,en_bodega,4044,6,6,2026,10,6,2026,10.391,-75.4794,6.2442,-75.5812
guia_173,medellin,barranquilla,en_novedad,3526,2,6,2026,12,6,2026,6.2442,-75.5812,10.9685,-74.7813
guia_174,bogota,pereira,en_transito,1377,1,6,2026,10,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_175,barranquilla,bucaramanga,preparacion,2207,1,6,2026,14,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_176,cali,bucaramanga,en_novedad,1179,2,6,2026,13,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_177,bucaramanga,bogota,en_transito,1992,3,6,2026,10,6,2026,7.1254,-73.1198,4.711,-74.0721
guia_178,bogota,medellin,entregado,3506,6,6,2026,13,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_179,cartagena,bucaramanga,entregado,4306,2,6,2026,14,6,2026,10.391,-75.4794,7.1254,-73.1198
guia_180,barranquilla,bucaramanga,en_bodega,3719,4,6,2026,9,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_181,medellin,cartagena,en_novedad,4122,5,6,2026,8,6,2026,6.2442,-75.5812,10.391,-75.4794
guia_182,medellin,cali,en_bodega,2973,2,6,2026,15,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_183,bogota,cali,entregado,3890,4,6,2026,12,6,2026,4.711,-74.0721,3.4516,-76.532
guia_184,bogota,cartagena,en_transito,2269,5,6,2026,11,6,2026,4.711,-74.0721,10.391,-75.4794
guia_185,cali,barranquilla,preparacion,1180,6,6,2026,13,6,2026,3.4516,-76.532,10.9685,-74.7813
guia_186,bucaramanga,medellin,en_novedad,4755,5,6,2026,10,6,2026,7.1254,-73.1198,6.2442,-75.5812
guia_187,bucaramanga,medellin,entregado,2409,5,6,2026,14,6,2026,7.1254,-73.1198,6.2442,-75.5812
guia_188,bucaramanga,bogota,en_bodega,1631,3,6,2026,11,6,2026,7.1254,-73.1198,4.711,-74.0721
guia_189,medellin,cali,entregado,1590,5,6,2026,14,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_190,pereira,bogota,en_transito,1075,4,6,2026,11,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_191,pereira,bogota,preparacion,579,4,6,2026,9,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_192,bucaramanga,barranquilla,en_transito,1522,5,6,2026,9,6,2026,7.1254,-73.1198,10.9685,-74.7813
guia_193,bogota,bucaramanga,entregado,515,5,6,2026,8,6,2026,4.711,-74.0721,7.1254,-73.1198
guia_194,medellin,cartagena,en_bodega,4778,5,6,2026,14,6,2026,6.2442,-75.5812,10.391,-75.4794
guia_195,bucaramanga,medellin,entregado,2002,2,6,2026,15,6,2026,7.1254,-73.1198,6.2442,-75.5812
guia_196,cali,pereira,en_transito,3689,4,6,2026,13,6,2026,3.4516,-76.532,4.8133,-75.6961
guia_197,medellin,pereira,en_bodega,4025,4,6,2026,14,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_198,bucaramanga,pereira,en_novedad,4304,6,6,2026,8,6,2026,7.1254,-73.1198,4.8133,-75.6961
guia_199,pereira,cali,en_transito,4636,2,6,2026,15,6,2026,4.8133,-75.6961,3.4516,-76.532
guia_200,cartagena,bogota,en_transito,2975,5,6,2026,13,6,2026,10.391,-75.4794,4.711,-74.0721
guia_201,bogota,barranquilla,entregado,4635,1,6,2026,14,6,2026,4.711,-74.0721,10.9685,-74.7813
guia_202,bogota,cali,preparacion,4043,2,6,2026,9,6,2026,4.711,-74.0721,3.4516,-76.532
guia_203,medellin,pereira,entregado,2493,4,6,2026,15,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_204,bucaramanga,bogota,en_bodega,3434,2,6,2026,8,6,2026,7.1254,-73.1198,4.711,-74.0721
guia_205,medellin,bogota,preparacion,2546,5,6,2026,10,6,2026,6.2442,-75.5812,4.711,-74.0721
guia_206,cartagena,barranquilla,preparacion,2764,3,6,2026,8,6,2026,10.391,-75.4794,10.9685,-74.7813
guia_207,bogota,pereira,entregado,3828,3,6,2026,9,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_208,cartagena,bogota,entregado,3826,3,6,2026,15,6,2026,10.391,-75.4794,4.711,-74.0721
guia_209,bucaramanga,cartagena,en_novedad,4793,3,6,2026,11,6,2026,7.1254,-73.1198,10.391,-75.4794
guia_210,cali,bucaramanga,en_novedad,2751,3,6,2026,14,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_211,barranquilla,medellin,entregado,671,2,6,2026,13,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_212,pereira,bucaramanga,preparacion,1047,2,6,2026,12,6,2026,4.8133,-75.6961,7.1254,-73.1198
guia_213,bogota,medellin,entregado,1187,6,6,2026,8,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_214,barranquilla,bucaramanga,en_novedad,3320,3,6,2026,8,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_215,barranquilla,bogota,en_transito,3576,5,6,2026,9,6,2026,10.9685,-74.7813,4.711,-74.0721
guia_216,medellin,cartagena,en_novedad,2064,4,6,2026,15,6,2026,6.2442,-75.5812,10.391,-75.4794
guia_217,barranquilla,bucaramanga,preparacion,3320,1,6,2026,13,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_218,barranquilla,medellin,preparacion,1258,2,6,2026,11,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_219,bucaramanga,medellin,en_novedad,4156,6,6,2026,13,6,2026,7.1254,-73.1198,6.2442,-75.5812
guia_220,bogota,cartagena,entregado,4245,2,6,2026,14,6,2026,4.711,-74.0721,10.391,-75.4794
guia_221,cali,cartagena,en_transito,4310,4,6,2026,12,6,2026,3.4516,-76.532,10.391,-75.4794
guia_222,cartagena,pereira,preparacion,3643,3,6,2026,11,6,2026,10.391,-75.4794,4.8133,-75.6961
guia_223,medellin,cartagena,entregado,2301,1,6,2026,13,6,2026,6.2442,-75.5812,10.391,-75.4794
guia_224,cali,barranquilla,preparacion,4230,6,6,2026,13,6,2026,3.4516,-76.532,10.9685,-74.7813
guia_225,pereira,medellin,en_transito,2817,1,6,2026,13,6,2026,4.8133,-75.6961,6.2442,-75.5812
guia_226,barranquilla,cartagena,en_bodega,3118,2,6,2026,12,6,2026,10.9685,-74.7813,10.391,-75.4794
guia_227,barranquilla,cali,preparacion,1959,6,6,2026,8,6,2026,10.9685,-74.7813,3.4516,-76.532
guia_228,bucaramanga,barranquilla,entregado,1723,1,6,2026,11,6,2026,7.1254,-73.1198,10.9685,-74.7813
guia_229,pereira,bogota,en_novedad,4598,1,6,2026,8,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_230,medellin,pereira,en_transito,797,6,6,2026,14,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_231,medellin,bogota,entregado,1867,1,6,2026,14,6,2026,6.2442,-75.5812,4.711,-74.0721
guia_232,cali,pereira,entregado,4267,1,6,2026,12,6,2026,3.4516,-76.532,4.8133,-75.6961
guia_233,cartagena,medellin,preparacion,3052,4,6,2026,11,6,2026,10.391,-75.4794,6.2442,-75.5812
guia_234,bogota,pereira,en_transito,4438,3,6,2026,13,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_235,cali,cartagena,entregado,3204,4,6,2026,8,6,2026,3.4516,-76.532,10.391,-75.4794
guia_236,cali,barranquilla,en_transito,4060,3,6,2026,12,6,2026,3.4516,-76.532,10.9685,-74.7813
guia_237,barranquilla,cartagena,en_bodega,1512,2,6,2026,11,6,2026,10.9685,-74.7813,10.391,-75.4794
guia_238,pereira,cartagena,entregado,582,1,6,2026,11,6,2026,4.8133,-75.6961,10.391,-75.4794
guia_239,medellin,cali,entregado,3104,1,6,2026,10,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_240,cartagena,pereira,entregado,2559,5,6,2026,11,6,2026,10.391,-75.4794,4.8133,-75.6961
guia_241,medellin,pereira,en_novedad,3781,2,6,2026,13,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_242,bogota,pereira,entregado,1030,6,6,2026,13,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_243,medellin,bucaramanga,entregado,829,4,6,2026,15,6,2026,6.2442,-75.5812,7.1254,-73.1198
guia_244,cali,cartagena,preparacion,1435,3,6,2026,11,6,2026,3.4516,-76.532,10.391,-75.4794
guia_245,medellin,pereira,en_novedad,550,2,6,2026,11,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_246,medellin,bucaramanga,en_novedad,3961,1,6,2026,10,6,2026,6.2442,-75.5812,7.1254,-73.1198
guia_247,medellin,barranquilla,entregado,2287,2,6,2026,12,6,2026,6.2442,-75.5812,10.9685,-74.7813
guia_248,bogota,bucaramanga,en_transito,4647,5,6,2026,13,6,2026,4.711,-74.0721,7.1254,-73.1198
guia_249,medellin,bogota,en_bodega,2717,5,6,2026,9,6,2026,6.2442,-75.5812,4.711,-74.0721
guia_250,pereira,bucaramanga,entregado,2839,6,6,2026,13,6,2026,4.8133,-75.6961,7.1254,-73.1198
guia_251,cali,barranquilla,entregado,1638,1,6,2026,13,6,2026,3.4516,-76.532,10.9685,-74.7813
guia_252,cartagena,barranquilla,en_transito,3698,3,6,2026,12,6,2026,10.391,-75.4794,10.9685,-74.7813
guia_253,bogota,bucaramanga,en_bodega,2955,6,6,2026,10,6,2026,4.711,-74.0721,7.1254,-73.1198
guia_254,pereira,bucaramanga,en_novedad,4700,5,6,2026,15,6,2026,4.8133,-75.6961,7.1254,-73.1198
guia_255,barranquilla,medellin,en_novedad,1295,3,6,2026,8,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_256,bogota,barranquilla,en_bodega,4648,4,6,2026,9,6,2026,4.711,-74.0721,10.9685,-74.7813
guia_257,barranquilla,bucaramanga,en_transito,1232,2,6,2026,8,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_258,medellin,bucaramanga,en_bodega,1029,5,6,2026,14,6,2026,6.2442,-75.5812,7.1254,-73.1198
guia_259,bucaramanga,barranquilla,preparacion,694,5,6,2026,10,6,2026,7.1254,-73.1198,10.9685,-74.7813
guia_260,cali,cartagena,en_bodega,1065,4,6,2026,15,6,2026,3.4516,-76.532,10.391,-75.4794
guia_261,cali,cartagena,en_novedad,4565,6,6,2026,11,6,2026,3.4516,-76.532,10.391,-75.4794
guia_262,bucaramanga,pereira,entregado,3910,5,6,2026,12,6,2026,7.1254,-73.1198,4.8133,-75.6961
guia_263,bucaramanga,barranquilla,en_transito,2734,2,6,2026,14,6,2026,7.1254,-73.1198,10.9685,-74.7813
guia_264,cali,bogota,preparacion,1798,1,6,2026,13,6,2026,3.4516,-76.532,4.711,-74.0721
guia_265,medellin,barranquilla,preparacion,1568,2,6,2026,15,6,2026,6.2442,-75.5812,10.9685,-74.7813
guia_266,pereira,barranquilla,en_novedad,1495,4,6,2026,11,6,2026,4.8133,-75.6961,10.9685,-74.7813
guia_267,bucaramanga,pereira,preparacion,2073,2,6,2026,11,6,2026,7.1254,-73.1198,4.8133,-75.6961
guia_268,cali,barranquilla,entregado,3811,3,6,2026,15,6,2026,3.4516,-76.532,10.9685,-74.7813
guia_269,cali,bucaramanga,preparacion,3267,2,6,2026,12,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_270,cartagena,bogota,en_novedad,4117,4,6,2026,15,6,2026,10.391,-75.4794,4.711,-74.0721
guia_271,barranquilla,pereira,en_transito,4520,4,6,2026,11,6,2026,10.9685,-74.7813,4.8133,-75.6961
guia_272,medellin,pereira,en_bodega,1415,6,6,2026,15,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_273,barranquilla,bucaramanga,en_bodega,2043,6,6,2026,15,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_274,medellin,cali,preparacion,877,6,6,2026,13,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_275,medellin,cali,en_bodega,4327,6,6,2026,9,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_276,barranquilla,medellin,entregado,2637,1,6,2026,12,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_277,pereira,bogota,entregado,3142,2,6,2026,12,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_278,bogota,bucaramanga,preparacion,4271,2,6,2026,12,6,2026,4.711,-74.0721,7.1254,-73.1198
guia_279,pereira,barranquilla,en_transito,691,6,6,2026,15,6,2026,4.8133,-75.6961,10.9685,-74.7813
guia_280,barranquilla,bogota,en_novedad,1724,3,6,2026,15,6,2026,10.9685,-74.7813,4.711,-74.0721
guia_281,medellin,pereira,en_novedad,870,4,6,2026,9,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_282,barranquilla,bucaramanga,preparacion,989,3,6,2026,12,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_283,cartagena,pereira,en_bodega,684,6,6,2026,10,6,2026,10.391,-75.4794,4.8133,-75.6961
guia_284,bogota,pereira,en_bodega,1360,5,6,2026,13,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_285,cartagena,bucaramanga,preparacion,3489,2,6,2026,11,6,2026,10.391,-75.4794,7.1254,-73.1198
guia_286,medellin,pereira,en_novedad,2303,6,6,2026,13,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_287,barranquilla,bogota,en_novedad,1325,4,6,2026,13,6,2026,10.9685,-74.7813,4.711,-74.0721
guia_288,bucaramanga,bogota,en_bodega,1793,4,6,2026,13,6,2026,7.1254,-73.1198,4.711,-74.0721
guia_289,medellin,bogota,preparacion,2564,2,6,2026,14,6,2026,6.2442,-75.5812,4.711,-74.0721
guia_290,pereira,bogota,entregado,3837,6,6,2026,10,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_291,cartagena,pereira,en_novedad,2155,2,6,2026,8,6,2026,10.391,-75.4794,4.8133,-75.6961
guia_292,barranquilla,medellin,en_transito,882,6,6,2026,10,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_293,bogota,cartagena,entregado,3018,3,6,2026,11,6,2026,4.711,-74.0721,10.391,-75.4794
guia_294,pereira,cartagena,en_bodega,2732,2,6,2026,10,6,2026,4.8133,-75.6961,10.391,-75.4794
guia_295,bogota,cartagena,entregado,3725,6,6,2026,13,6,2026,4.711,-74.0721,10.391,-75.4794
guia_296,medellin,cartagena,en_novedad,2540,4,6,2026,10,6,2026,6.2442,-75.5812,10.391,-75.4794
guia_297,cali,bucaramanga,entregado,2319,5,6,2026,8,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_298,medellin,cali,preparacion,4131,6,6,2026,12,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_299,bogota,cali,entregado,1727,6,6,2026,13,6,2026,4.711,-74.0721,3.4516,-76.532
guia_300,bogota,cali,en_bodega,821,1,6,2026,10,6,2026,4.711,-74.0721,3.4516,-76.532
guia_301,bogota,barranquilla,en_transito,2506,2,6,2026,8,6,2026,4.711,-74.0721,10.9685,-74.7813
guia_302,barranquilla,cali,entregado,3762,5,6,2026,8,6,2026,10.9685,-74.7813,3.4516,-76.532
guia_303,bucaramanga,pereira,entregado,2139,2,6,2026,8,6,2026,7.1254,-73.1198,4.8133,-75.6961
guia_304,medellin,pereira,entregado,3796,5,6,2026,14,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_305,cali,cartagena,en_bodega,4629,1,6,2026,15,6,2026,3.4516,-76.532,10.391,-75.4794
guia_306,medellin,pereira,en_transito,4350,4,6,2026,13,6,2026,6.2442,-75.5812,4.8133,-75.6961
guia_307,bucaramanga,medellin,en_novedad,4144,4,6,2026,13,6,2026,7.1254,-73.1198,6.2442,-75.5812
guia_308,bogota,cartagena,entregado,2679,1,6,2026,9,6,2026,4.711,-74.0721,10.391,-75.4794
guia_309,cali,pereira,entregado,4543,5,6,2026,14,6,2026,3.4516,-76.532,4.8133,-75.6961
guia_310,cali,medellin,preparacion,1833,6,6,2026,12,6,2026,3.4516,-76.532,6.2442,-75.5812
guia_311,pereira,cartagena,en_bodega,4656,4,6,2026,15,6,2026,4.8133,-75.6961,10.391,-75.4794
guia_312,bogota,cali,en_bodega,3554,6,6,2026,10,6,2026,4.711,-74.0721,3.4516,-76.532
guia_313,bogota,medellin,entregado,3446,5,6,2026,13,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_314,medellin,bogota,en_transito,4312,1,6,2026,15,6,2026,6.2442,-75.5812,4.711,-74.0721
guia_315,cartagena,pereira,entregado,4086,3,6,2026,8,6,2026,10.391,-75.4794,4.8133,-75.6961
guia_316,bogota,cartagena,entregado,1813,6,6,2026,15,6,2026,4.711,-74.0721,10.391,-75.4794
guia_317,cali,cartagena,entregado,519,6,6,2026,11,6,2026,3.4516,-76.532,10.391,-75.4794
guia_318,cali,cartagena,preparacion,885,5,6,2026,14,6,2026,3.4516,-76.532,10.391,-75.4794
guia_319,barranquilla,bucaramanga,en_bodega,2990,4,6,2026,10,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_320,cali,bogota,en_transito,2855,6,6,2026,8,6,2026,3.4516,-76.532,4.711,-74.0721
guia_321,barranquilla,bucaramanga,en_novedad,3276,6,6,2026,10,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_322,barranquilla,cali,entregado,3439,6,6,2026,13,6,2026,10.9685,-74.7813,3.4516,-76.532
guia_323,cali,bogota,preparacion,4608,6,6,2026,10,6,2026,3.4516,-76.532,4.711,-74.0721
guia_324,cali,bogota,en_novedad,1875,1,6,2026,13,6,2026,3.4516,-76.532,4.711,-74.0721
guia_325,barranquilla,cali,entregado,4653,6,6,2026,14,6,2026,10.9685,-74.7813,3.4516,-76.532
guia_326,cali,bucaramanga,en_novedad,2326,5,6,2026,14,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_327,bogota,medellin,en_transito,571,3,6,2026,14,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_328,barranquilla,bucaramanga,en_transito,2959,2,6,2026,13,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_329,medellin,bucaramanga,en_bodega,4535,6,6,2026,9,6,2026,6.2442,-75.5812,7.1254,-73.1198
guia_330,cali,pereira,en_bodega,3688,3,6,2026,13,6,2026,3.4516,-76.532,4.8133,-75.6961
guia_331,cartagena,bucaramanga,en_novedad,2196,6,6,2026,10,6,2026,10.391,-75.4794,7.1254,-73.1198
guia_332,barranquilla,medellin,en_novedad,4418,4,6,2026,8,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_333,medellin,bucaramanga,entregado,1759,2,6,2026,8,6,2026,6.2442,-75.5812,7.1254,-73.1198
guia_334,medellin,bucaramanga,preparacion,966,2,6,2026,8,6,2026,6.2442,-75.5812,7.1254,-73.1198
guia_335,barranquilla,pereira,en_novedad,4153,4,6,2026,15,6,2026,10.9685,-74.7813,4.8133,-75.6961
guia_336,bogota,pereira,en_bodega,2355,6,6,2026,8,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_337,barranquilla,pereira,en_transito,4566,5,6,2026,14,6,2026,10.9685,-74.7813,4.8133,-75.6961
guia_338,cali,cartagena,en_transito,2497,6,6,2026,12,6,2026,3.4516,-76.532,10.391,-75.4794
guia_339,bucaramanga,cali,entregado,2351,1,6,2026,12,6,2026,7.1254,-73.1198,3.4516,-76.532
guia_340,bogota,cartagena,en_transito,1406,6,6,2026,8,6,2026,4.711,-74.0721,10.391,-75.4794
